gene,coef_covid
WDR91,-0.04577394276882144
LINC01043,-0.045283765558097974
NR4A3,0.045148392326220484
LINC00211,-0.04501569693409554
FAM227B,0.044896131679747445
ZNF555,-0.044792034526443515
PLAC9,0.044772457012109294
TCF7L2,0.04451900854330387
ZNF780A,0.044480193475404814
KCTD7,0.04440418810757684
TRAPPC13,-0.0442842279275968
GPNMB,0.04426905045452952
HSD17B8,-0.04420045031079561
MZB1,0.044180307051607484
AKR1C2,-0.044161320488828995
NGRN,-0.04410144894014186
TOP2A,0.04399598242278823
CLDN18,0.0438663269852403
SCARF2,-0.04356516119316273
LRG1,0.04323711286264402
TLR9,-0.04322382699038495
NME8,-0.043126278894854986
GEMIN5,0.04305719010286272
MUC19,0.04304896146116394
SLC10A1,-0.042857960297783826
MUC16,-0.0425991451328851
ALDH1L2,-0.042587373410919595
PROZ,0.04255758455222836
P2RX6,0.04254156041855402
GAB4,0.04249168901056691
RAB27B,0.04233015168639203
TMEM243,0.042301791896683705
GP1BA,0.04211766967602472
SSPN,-0.042010591093783495
PC,0.04189952130795556
TUBB1,0.04186431755765619
TBX6,0.04184815812968423
CDH1,-0.0415965129814822
DUSP16,-0.04152626123537468
DONSON,-0.04142000820642202
SMCO3,0.04137720950171735
GPD1L,-0.04136465348786031
LTBP1,0.04096763349874489
CEACAM3,-0.04068932345523985
AKAP5,-0.0406495929812254
EVA1C,0.04055217311321315
PPM1N,-0.04052256112242534
RNF207,-0.04044507597111909
LRFN1,0.040407296032402375
DEFA1B,0.039553451870266314
CD79A,-0.03937990815973966
ARHGEF15,-0.03934334816223222
CLEC1A,-0.0393268267996346
TMSB4Y,-0.03927469729226804
HBA2,-0.03918553758916474
DDX11,0.039155885549281955
JUP,-0.03913720347410241
IGLV3-9,0.03908916451599605
COBLL1,0.039044132748247425
ALPK1,0.03900711835294659
C1QC,0.038998342680195495
XK,0.038965323096924596
NUP153,-0.03878643124458757
GALNTL6,0.03852053770125592
CAMP,-0.03851849640457253
L3MBTL4,0.03826374417627533
GADD45B,0.03825657919217497
TTC39A,-0.03821756654473838
IGLV3-10,0.03815073320873836
TNFRSF9,0.03813942246980606
IGF1R,0.03785978778735883
GRHL1,0.03770598219727893
GPR174,0.03770538596851683
NUP210L,0.037670502213558416
GSTT1,-0.03765952771842483
ABCA1,0.03757181757708933
BCYRN1,0.03739395259376432
RN7SL744P,0.03724105597478005
GSDMB,-0.03720873087404822
RMDN2,0.03720174501477936
ZDHHC19,0.037170041884960835
LINC00842,0.03715741247176185
ST18,-0.03704022733061735
HSBP1L1,-0.036633784645823474
ALKBH6,-0.036606954147851
SLC1A2,0.03647783069125905
RN7SKP168,0.0364232564277913
FAM161B,-0.03614460332100814
FOXP1-AS1,-0.03574595324039811
NEAT1,0.03561063677205288
UBE2NL,-0.03553632372345401
LRWD1,0.03552285829453721
CEP63,-0.0353605538320512
KRT23,0.03529321974629528
AHNAK2,-0.035210332312138354
SMAGP,-0.03517336340835731
IGLV4-69,-0.035170705188990174
ABCG1,-0.035084407652186615
ZNF763,-0.03504773006575306
UNC5C,-0.035002975637510425
XBP1,0.034852583593162394
CLRN1,0.03481273057779968
TBC1D30,-0.034686956140726206
STXBP1,-0.034669455004612826
THSD4,-0.03463299753810949
BPI,0.03454008396492154
C17orf97,0.034535622461421826
FCGR2A,0.0345232784112486
RBBP5,0.03438999229674343
GATA2,0.03432563934964554
OSBPL5,0.03391255439042422
PIK3IP1,0.0339020347890424
ATP11B,0.033852420030475776
ITGA6,0.03344998219645567
MOCS3,0.03339687743472911
CD1A,-0.03327013451936691
AZU1,0.03322294359539768
DHRS9,-0.033102606213463066
SOCS2-AS1,-0.03307413763949654
ABHD12B,-0.03296815780746322
IGKV1-33,0.03287474362417953
SNX25,0.0328585179845018
IL1RN,0.03237225056514956
AOC3,0.03234156447712312
IGHV3-74,0.03205683870811873
PPIL6,-0.03191534688699907
PIF1,0.03172899171966413
GPD2,0.03162860376126047
ABHD4,-0.03150044904868345
RAB30,0.03146008711151858
SAG,-0.03142638890729914
MBOAT2,0.03141993009432665
MYL6B,0.03131688029287729
NAPSA,0.031242367088913342
PAFAH1B3,0.03123668698601542
ZYG11A,0.031234121944326693
FDXR,-0.030918112772334985
CASQ1,-0.030762446573556035
RN7SL353P,0.03073826700754948
OXLD1,-0.03073758956492428
RAP2A,0.03055777256848362
ZFHX4,0.030517699801507873
LGALS4,-0.030514289254278355
HOPX,-0.030308786276553142
AFF2,-0.030246343723794696
KIFC1,-0.030243449607500625
WNT9B,0.03013516087352085
TBXA2R,0.030127656191990777
SEMA4F,0.03008249127437689
SCARNA6,0.02998304499309704
HSD3B7,0.0297089121328134
UVRAG,0.029481269053580363
GARNL3,0.02935541917497338
CCZ1B,0.029348622989192344
ABLIM1,0.028901793128384815
TEX2,-0.02866721878079542
C6orf132,-0.02866232628280083
CXCR1,-0.02863601348633898
GRM2,0.02824488739116811
CACNA1S,0.02799609571782242
RFC5,-0.027680666657127963
FAT3,-0.027631992562469135
UBAP1L,-0.027620399684609998
DNMT3A,-0.027570476839755328
ZNF585A,-0.027408839711524895
USP53,0.02700377365542872
HEMGN,0.02698661615627234
FPR3,-0.026962435772791258
KCNH3,0.0269533179079244
PPARGC1A,-0.02695176808871973
NCR1,0.026793927582845073
RNF149,-0.02678968588930579
SEMA7A,-0.026762514431412393
AKAP1,0.02671805230595911
SRGAP3,0.02665720063897539
MAMDC4,0.026571468886409894
PHACTR1,0.026505763113193765
BRIP1,0.026496314280866327
RN7SL749P,0.026284732940576316
